Tanggal,Meninggal,Sembuh,Self Isolation,Masih Perawatan,Total Pasien,Positif Harian,Positif Aktif,Sembuh Harian
2020-03-01,0,0,0,0,0,0,0,0
2020-03-02,0,0,0,0,0,0,0,0
2020-03-03,1,0,0,2,3,3,2,0
2020-03-04,1,0,0,2,3,0,2,0
2020-03-05,3,0,0,4,7,4,4,0
2020-03-06,3,0,0,4,7,0,4,0
2020-03-07,3,0,0,4,7,0,4,0
2020-03-08,3,0,0,4,7,0,4,0
2020-03-09,3,0,0,31,34,27,31,0
2020-03-10,3,0,0,31,34,0,31,0
2020-03-11,3,0,0,33,36,2,33,0
2020-03-12,5,0,0,57,62,26,57,0
2020-03-13,7,0,0,65,72,10,65,0
2020-03-14,9,0,0,70,79,7,70,0
2020-03-15,11,0,0,84,95,16,84,0
2020-03-16,12,0,7,78,97,2,85,0
2020-03-17,12,0,27,83,122,25,110,0
2020-03-18,15,12,42,91,160,38,133,12
2020-03-19,19,13,57,121,210,50,178,1
2020-03-20,20,13,66,125,224,14,191,0
2020-03-21,23,17,71,157,268,44,228,4
2020-03-22,29,21,77,177,304,36,254,4
2020-03-23,29,22,79,225,355,51,304,1
2020-03-24,34,23,109,260,426,71,369,1
2020-03-25,43,27,112,290,472,46,402,4
2020-03-26,49,29,113,324,515,43,437,2
2020-03-27,57,31,132,346,566,51,478,2
2020-03-28,62,43,134,364,603,37,498,12
2020-03-29,67,48,151,435,701,98,586,5
2020-03-30,78,49,151,449,727,26,600,1
2020-03-31,84,49,157,451,741,14,608,0
2020-04-01,90,51,176,499,816,75,675,2
2020-04-02,95,54,195,565,909,93,760,3
2020-04-03,98,56,209,627,990,81,836,2
2020-04-04,99,58,223,691,1071,81,914,2
2020-04-05,123,64,279,685,1151,80,964,6
2020-04-06,131,68,317,783,1299,148,1100,4
2020-04-07,141,69,338,895,1443,144,1233,1
2020-04-08,144,75,357,976,1552,109,1333,6
2020-04-09,155,82,405,1077,1719,167,1482,7
2020-04-10,156,82,433,1139,1810,91,1572,0
2020-04-11,168,142,441,1152,1903,93,1593,60
2020-04-12,195,142,468,1277,2082,179,1745,0
2020-04-13,209,142,521,1370,2242,160,1891,0
2020-04-14,243,163,558,1385,2349,107,1943,21
2020-04-15,246,164,613,1424,2447,98,2037,1
2020-04-16,248,202,619,1601,2670,223,2220,38
2020-04-17,250,203,643,1727,2823,153,2370,1
2020-04-18,257,206,670,1769,2902,79,2439,3
2020-04-19,292,207,695,1839,3033,131,2534,1
2020-04-20,297,237,752,1826,3112,79,2578,30
2020-04-21,305,286,753,1935,3279,167,2688,49
2020-04-22,308,291,815,1985,3399,120,2800,5
2020-04-23,316,292,888,2010,3506,107,2898,1
2020-04-24,331,327,959,1988,3605,99,2947,35
2020-04-25,350,334,1050,1947,3681,76,2997,7
2020-04-26,357,338,1099,1952,3746,65,3051,4
2020-04-27,375,338,1169,1950,3832,86,3119,0
2020-04-28,379,341,1206,2024,3950,118,3230,3
2020-04-29,381,412,1238,2002,4033,83,3240,71
2020-04-30,381,412,1272,2073,4138,105,3345,0
2020-05-01,393,427,1312,2151,4283,145,3463,15
2020-05-02,400,562,1304,2089,4355,72,3393,135
2020-05-03,410,622,1323,2062,4417,62,3385,60
2020-05-04,412,650,1330,2080,4472,55,3410,28
2020-05-05,414,711,1370,2146,4641,169,3516,61
2020-05-06,420,713,1381,2195,4709,68,3576,2
2020-05-07,430,718,1431,2196,4775,66,3627,5
2020-05-08,431,763,1426,2281,4901,126,3707,45
2020-05-09,437,767,1442,2312,4958,57,3754,4
2020-05-10,444,803,1533,2360,5140,182,3893,36
2020-05-11,453,836,1648,2258,5195,55,3906,33
2020-05-12,457,1262,1741,1843,5303,108,3584,426
2020-05-13,461,1277,1866,1833,5437,134,3699,15
2020-05-14,466,1279,1995,1877,5617,180,3872,2
2020-05-15,474,1286,2019,1900,5679,62,3919,7
2020-05-16,475,1292,2120,1908,5795,116,4028,6
