region,transportation_type,Date,Value
Indonesia,driving,2020-01-13,100.0
Indonesia,walking,2020-01-13,100.0
Indonesia,driving,2020-01-14,100.95
Indonesia,walking,2020-01-14,100.61
Indonesia,driving,2020-01-15,103.17
Indonesia,walking,2020-01-15,97.86
Indonesia,driving,2020-01-16,103.49
Indonesia,walking,2020-01-16,100.22
Indonesia,driving,2020-01-17,127.22
Indonesia,walking,2020-01-17,114.75
Indonesia,driving,2020-01-18,135.77
Indonesia,walking,2020-01-18,128.47
Indonesia,driving,2020-01-19,109.68
Indonesia,walking,2020-01-19,107.06
Indonesia,driving,2020-01-20,103.62
Indonesia,walking,2020-01-20,103.86
Indonesia,driving,2020-01-21,101.54
Indonesia,walking,2020-01-21,100.7
Indonesia,driving,2020-01-22,106.06
Indonesia,walking,2020-01-22,104.28
Indonesia,driving,2020-01-23,110.31
Indonesia,walking,2020-01-23,102.69
Indonesia,driving,2020-01-24,142.98
Indonesia,walking,2020-01-24,125.3
Indonesia,driving,2020-01-25,144.2
Indonesia,walking,2020-01-25,131.44
Indonesia,driving,2020-01-26,116.83
Indonesia,walking,2020-01-26,111.84
Indonesia,driving,2020-01-27,105.27
Indonesia,walking,2020-01-27,106.66
Indonesia,driving,2020-01-28,105.0
Indonesia,walking,2020-01-28,106.36
Indonesia,driving,2020-01-29,102.55
Indonesia,walking,2020-01-29,100.34
Indonesia,driving,2020-01-30,100.66
Indonesia,walking,2020-01-30,99.32
Indonesia,driving,2020-01-31,129.64
Indonesia,walking,2020-01-31,118.64
Indonesia,driving,2020-02-01,147.18
Indonesia,walking,2020-02-01,131.66
Indonesia,driving,2020-02-02,117.4
Indonesia,walking,2020-02-02,113.51
Indonesia,driving,2020-02-03,103.69
Indonesia,walking,2020-02-03,103.42
Indonesia,driving,2020-02-04,103.6
Indonesia,walking,2020-02-04,102.42
Indonesia,driving,2020-02-05,105.0
Indonesia,walking,2020-02-05,103.29
Indonesia,driving,2020-02-06,106.75
Indonesia,walking,2020-02-06,103.7
Indonesia,driving,2020-02-07,131.57
Indonesia,walking,2020-02-07,115.09
Indonesia,driving,2020-02-08,145.83
Indonesia,walking,2020-02-08,129.25
Indonesia,driving,2020-02-09,112.79
Indonesia,walking,2020-02-09,110.41
Indonesia,driving,2020-02-10,103.37
Indonesia,walking,2020-02-10,102.7
Indonesia,driving,2020-02-11,102.29
Indonesia,walking,2020-02-11,98.81
Indonesia,driving,2020-02-12,102.07
Indonesia,walking,2020-02-12,97.3
Indonesia,driving,2020-02-13,107.27
Indonesia,walking,2020-02-13,102.12
Indonesia,driving,2020-02-14,133.75
Indonesia,walking,2020-02-14,116.83
Indonesia,driving,2020-02-15,142.78
Indonesia,walking,2020-02-15,125.67
Indonesia,driving,2020-02-16,109.17
Indonesia,walking,2020-02-16,102.73
Indonesia,driving,2020-02-17,98.27
Indonesia,walking,2020-02-17,95.96
Indonesia,driving,2020-02-18,96.71
Indonesia,walking,2020-02-18,95.66
Indonesia,driving,2020-02-19,103.73
Indonesia,walking,2020-02-19,97.78
Indonesia,driving,2020-02-20,107.9
Indonesia,walking,2020-02-20,100.52
Indonesia,driving,2020-02-21,134.18
Indonesia,walking,2020-02-21,114.25
Indonesia,driving,2020-02-22,142.24
Indonesia,walking,2020-02-22,125.6
Indonesia,driving,2020-02-23,107.99
Indonesia,walking,2020-02-23,99.26
Indonesia,driving,2020-02-24,102.07
Indonesia,walking,2020-02-24,96.88
Indonesia,driving,2020-02-25,99.4
Indonesia,walking,2020-02-25,93.63
Indonesia,driving,2020-02-26,98.92
Indonesia,walking,2020-02-26,91.96
Indonesia,driving,2020-02-27,100.77
Indonesia,walking,2020-02-27,91.42
Indonesia,driving,2020-02-28,129.12
Indonesia,walking,2020-02-28,111.25
Indonesia,driving,2020-02-29,143.34
Indonesia,walking,2020-02-29,119.76
Indonesia,driving,2020-03-01,110.82
Indonesia,walking,2020-03-01,97.89
Indonesia,driving,2020-03-02,97.69
Indonesia,walking,2020-03-02,94.71
Indonesia,driving,2020-03-03,95.87
Indonesia,walking,2020-03-03,95.13
Indonesia,driving,2020-03-04,97.14
Indonesia,walking,2020-03-04,90.37
Indonesia,driving,2020-03-05,102.06
Indonesia,walking,2020-03-05,95.05
Indonesia,driving,2020-03-06,130.82
Indonesia,walking,2020-03-06,110.2
Indonesia,driving,2020-03-07,139.89
Indonesia,walking,2020-03-07,117.99
Indonesia,driving,2020-03-08,106.16
Indonesia,walking,2020-03-08,96.21
Indonesia,driving,2020-03-09,96.88
Indonesia,walking,2020-03-09,89.48
Indonesia,driving,2020-03-10,96.96
