Tanggal,retail_and_recreation,grocery_and_pharmacy,parks,transit_stations,workplaces,residental,Meninggal,Sembuh,Self Isolation,Masih Perawatan,Total Pasien,Positif Harian,Positif Aktif,Sembuh Harian,Target,Vaksinasi_1,Vaksinasi_2
2021-03-05,-26,-6,-45,-39.0,-32,11,5702,334100,4026,3147,346975,1159,7173,1342,3000689,281997,91078
2021-03-06,-26,-2,-45,-29.0,-20,5,5748,335617,4228,2998,348591,1616,7226,1517,3000689,289951,91379
2021-03-07,-31,-9,-52,-31.0,-16,6,5790,337426,4194,3015,350425,1834,7209,1809,3000689,334506,93974
2021-03-08,-28,-7,-48,-39.0,-33,10,5838,338931,4494,2945,352208,1783,7439,1505,3000689,361710,96978
2021-03-09,-29,-9,-49,-38.0,-34,10,5883,340587,3856,2749,353075,867,6605,1656,3000689,423139,119854
2021-03-10,-25,-5,-46,-34.0,-32,9,5923,341398,3691,3103,354115,1040,6794,811,3000689,473494,109554
2021-03-11,-28,-11,-41,-51.0,-66,18,5943,342306,4253,3367,355869,1754,7620,908,3000689,483492,109699
2021-03-12,-26,-6,-39,-40.0,-34,11,5969,343351,4670,3752,357742,1873,8422,1045,3000689,519575,113038
2021-03-13,-28,-4,-40,-32.0,-20,6,5991,345202,4226,3357,358776,1034,7583,1851,3000689,537965,114464
2021-03-14,-31,-9,-44,-30.0,-16,5,6026,347210,3443,3301,359980,1204,6744,2008,3000689,550088,114621
2021-03-15,-27,-6,-43,-37.0,-32,10,6038,349002,3485,3010,361535,1555,6495,1792,3000689,599696,124070
2021-03-16,-29,-9,-47,-38.0,-33,10,6062,350561,2996,2751,362370,835,5747,1559,3000689,647957,139204
2021-03-17,-28,-8,-43,-38.0,-31,10,6077,351680,2907,3036,363700,1330,5943,1119,3000689,692365,159736
2021-03-18,-27,-8,-42,-38.0,-31,10,6100,352827,3273,3219,365419,1719,6492,1147,3000689,734359,184432
2021-03-19,-24,-5,-37,-36.0,-30,11,6120,354036,3483,3368,367007,1588,6851,1209,3000689,810602,199342
2021-03-20,-27,-4,-42,-30.0,-17,6,6143,355221,3894,3686,368944,1937,7580,1185,3000689,824569,203266
2021-03-21,-29,-7,-46,-31.0,-13,5,6160,357100,3859,3463,370582,1638,7322,1879,3000689,846439,204295
