Tanggal,retail_and_recreation,grocery_and_pharmacy,parks,transit_stations,workplaces,residental,Self Isolation,Masih Perawatan,Positif Harian,Positif Aktif,Sembuh Harian,Vaksinasi_1,Vaksinasi_2
2021-01-01,-46,-27,-51,-61.0,-73,22,10082,5789,1956,15871,1631,0.0,0.0
2021-01-02,-39,-15,-50,-41.0,-33,11,10872,4599,1895,15471,2269,0.0,0.0
2021-01-03,-40,-19,-58,-34.0,-15,9,10978,4410,1657,15388,1729,0.0,0.0
2021-01-04,-29,-5,-50,-39.0,-32,13,10371,4299,1832,14670,2526,0.0,0.0
2021-01-05,-32,-9,-53,-39.0,-33,14,10897,4479,1824,15376,1095,0.0,0.0
2021-01-06,-30,-11,-52,-40.0,-32,14,12196,4254,2402,16450,1310,0.0,0.0
2021-01-07,-31,-10,-51,-41.0,-33,15,12781,4601,2398,17382,1441,0.0,0.0
2021-01-08,-28,-9,-44,-41.0,-31,15,13397,4236,2959,17633,2680,0.0,0.0
2021-01-09,-38,-18,-58,-39.0,-20,11,13076,5237,2753,18313,2051,0.0,0.0
2021-01-10,-32,-9,-55,-34.0,-12,9,13166,4863,2711,18029,2963,0.0,0.0
2021-01-11,-32,-12,-50,-43.0,-34,15,13541,4405,2461,17946,2510,0.0,0.0
2021-01-12,-36,-17,-54,-44.0,-36,15,14591,4397,2669,18988,1589,0.0,0.0
2021-01-13,-36,-18,-53,-45.0,-36,14,15009,4450,3476,19459,2960,0.0,0.0
2021-01-14,-38,-23,-53,-48.0,-40,12,15852,4647,3165,20499,2084,0.0,0.0
2021-01-15,-36,-22,-48,-49.0,-40,13,15553,5247,2541,20800,2205,0.0,0.0
2021-01-16,-39,-21,-53,-44.0,-28,8,17524,4565,3536,22089,2212,0.0,0.0
2021-01-17,-41,-24,-57,-43.0,-23,8,16741,4938,3395,21679,3771,0.0,0.0
2021-01-18,-39,-24,-55,-48.0,-41,14,16419,4781,2361,21200,2804,0.0,0.0
2021-01-19,-39,-23,-56,-49.0,-41,14,14604,4611,2563,19215,4527,0.0,0.0
2021-01-20,-38,-23,-55,-49.0,-40,14,16389,4835,3786,21224,1745,0.0,0.0
2021-01-21,-39,-24,-54,-49.0,-40,14,16966,4790,3151,21756,2587,0.0,0.0
2021-01-22,-35,-20,-47,-48.0,-37,15,17752,5607,3792,23359,2149,0.0,0.0
2021-01-23,-37,-17,-52,-41.0,-23,9,18657,4379,3285,23036,3568,0.0,0.0
2021-01-24,-48,-33,-71,-50.0,-26,13,19554,4670,3512,24224,2280,0.0,0.0
2021-01-25,-34,-16,-52,-45.0,-37,14,19869,4263,2451,24132,2504,0.0,0.0
2021-01-26,-36,-18,-55,-45.0,-38,14,19432,4030,2314,23462,2939,0.0,0.0
2021-01-27,-35,-18,-54,-46.0,-37,14,18528,3773,1836,22301,2971,0.0,0.0
2021-01-28,-34,-15,-50,-45.0,-37,13,18473,3946,2889,22419,2720,0.0,0.0
2021-01-29,-33,-14,-46,-45.0,-36,14,19381,4008,3448,23389,2439,0.0,0.0
2021-01-30,-36,-12,-56,-39.0,-23,8,20539,3056,3491,23595,3255,0.0,0.0
2021-01-31,-33,-8,-60,-35.0,-16,7,19272,4110,3474,23382,3674,0.0,0.0
2021-02-01,-33,-12,-54,-43.0,-36,12,19824,4969,3614,24793,2133,0.0,0.0
2021-02-02,-32,-7,-52,-42.0,-37,12,18925,4875,3362,23800,4313,0.0,0.0
2021-02-03,-34,-15,-57,-45.0,-37,13,21863,4168,3567,26031,1295,0.0,0.0
2021-02-04,-35,-17,-55,-45.0,-37,12,20419,4858,3632,25277,4345,0.0,0.0
2021-02-05,-28,-6,-46,-42.0,-35,12,21191,4838,3340,26029,2547,0.0,0.0
2021-02-06,-31,-6,-52,-35.0,-23,7,19325,4719,2379,24044,4325,0.0,0.0
2021-02-07,-39,-20,-66,-41.0,-21,8,17958,5911,4213,23869,4342,0.0,0.0
2021-02-08,-33,-14,-55,-43.0,-37,12,17766,5787,3144,23553,3416,0.0,0.0
2021-02-09,-31,-9,-55,-42.0,-37,11,18174,5978,3437,24152,2788,0.0,0.0
2021-02-10,-29,-8,-52,-41.0,-36,11,16676,7497,3309,24173,3244,0.0,0.0
2021-02-11,-27,-6,-47,-37.0,-37,9,14119,8540,2514,22659,4005,0.0,0.0
2021-02-12,-34,-17,-41,-55.0,-67,20,10774,9888,3810,20662,5757,0.0,0.0
2021-02-13,-35,-15,-48,-41.0,-30,8,9644,9374,3018,19018,4610,0.0,0.0
2021-02-14,-37,-18,-57,-38.0,-19,7,9017,8103,2496,17120,4349,0.0,0.0
2021-02-15,-32,-12,-51,-41.0,-35,11,8881,7988,1879,16869,2085,0.0,0.0
2021-02-16,-39,-21,-58,-44.0,-39,13,9042,7569,1861,16611,2072,0.0,0.0
2021-02-17,-32,-12,-51,-42.0,-34,11,8467,7450,1445,15917,2100,0.0,0.0
2021-02-18,-39,-23,-57,-45.0,-36,13,7067,6549,373,13616,2656,0.0,0.0
2021-02-19,-30,-10,-46,-43.0,-34,13,7323,5632,1920,12955,2544,0.0,0.0
2021-02-20,-38,-14,-55,-40.0,-25,9,7165,5858,2872,13023,2764,0.0,0.0
2021-02-21,-35,-12,-57,-38.0,-17,7,7137,5902,2720,13039,2653,0.0,0.0
2021-02-22,-31,-12,-50,-43.0,-34,11,7528,5612,2471,13140,2336,0.0,0.0
2021-02-23,-34,-15,-54,-43.0,-35,11,7126,4939,782,12065,1815,0.0,0.0
2021-02-24,-34,-18,-53,-44.0,-34,12,6008,4346,782,10354,2440,0.0,0.0
2021-02-25,-29,-7,-49,-41.0,-33,10,5499,4068,1581,9567,2323,0.0,0.0
2021-02-26,-24,-2,-41,-39.0,-32,11,5560,3917,1661,9477,1712,0.0,0.0
2021-02-27,-24,4,-42,-30.0,-19,5,5885,4028,1737,9913,1247,0.0,0.0
2021-02-28,-28,-3,-49,-31.0,-13,5,5940,4425,2098,10365,1607,0.0,0.0
2021-03-01,-29,-5,-51,-40.0,-33,10,5891,3865,2058,9756,2617,0.0,0.0
2021-03-02,-29,-5,-52,-40.0,-34,10,5072,3205,578,8277,2017,0.0,0.0
2021-03-03,-27,-5,-49,-39.0,-33,10,3742,3437,1437,7179,2490,0.0,0.0
2021-03-04,-29,-10,-50,-40.0,-33,10,3940,3461,2008,7401,1742,0.0,0.0
2021-03-05,-26,-6,-45,-39.0,-32,11,4026,3147,1159,7173,1342,281997.0,91078.0
2021-03-06,-26,-2,-45,-29.0,-20,5,4228,2998,1616,7226,1517,289951.0,91379.0
2021-03-07,-31,-9,-52,-31.0,-16,6,4194,3015,1834,7209,1809,334506.0,93974.0
2021-03-08,-28,-7,-48,-39.0,-33,10,4494,2945,1783,7439,1505,361710.0,96978.0
