Tanggal,retail_and_recreation_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,Self Isolation,Masih Perawatan,Positif Harian
2021-08-11,-34,-51,-60.0,-67,7873,3228,1958
2021-08-12,-30,-50,-48.0,-37,7008,2873,1078
2021-08-13,-29,-45,-48.0,-36,6724,2729,1210
2021-08-14,-33,-54,-43.0,-20,6748,2820,1363
2021-08-15,-36,-60,-46.0,-16,6755,2901,1182
2021-08-16,-27,-47,-47.0,-39,6290,2915,513
2021-08-17,-37,-48,-61.0,-73,5955,2961,655
2021-08-18,-32,-51,-47.0,-36,6006,3029,1029
2021-08-19,-31,-49,-49.0,-36,5794,3004,731
2021-08-20,-28,-44,-48.0,-34,5721,3087,969
2021-08-21,-31,-52,-43.0,-19,5565,3199,891
2021-08-22,-34,-57,-45.0,-14,5584,2947,701
2021-08-23,-28,-47,-47.0,-35,5477,2788,485
2021-08-24,-30,-50,-47.0,-37,5277,2847,484
2021-08-25,-26,-48,-45.0,-35,5442,2731,789
2021-08-26,-25,-45,-45.0,-35,5110,2604,574
2021-08-27,-22,-41,-45.0,-33,5491,2504,638
2021-08-28,-25,-46,-39.0,-18,5607,2395,468
2021-08-29,-29,-54,-42.0,-14,5497,2256,474
