date,province,retail_and_recreation,grocery_and_pharmacy,parks,transit_stations,workplaces,residental
2021-01-01,Jakarta,-46,-27,-51,-61.0,-73,22
2021-01-02,Jakarta,-39,-15,-50,-41.0,-33,11
2021-01-03,Jakarta,-40,-19,-58,-34.0,-15,9
2021-01-04,Jakarta,-29,-5,-50,-39.0,-32,13
2021-01-05,Jakarta,-32,-9,-53,-39.0,-33,14
2021-01-06,Jakarta,-30,-11,-52,-40.0,-32,14
2021-01-07,Jakarta,-31,-10,-51,-41.0,-33,15
2021-01-08,Jakarta,-28,-9,-44,-41.0,-31,15
2021-01-09,Jakarta,-38,-18,-58,-39.0,-20,11
2021-01-10,Jakarta,-32,-9,-55,-34.0,-12,9
2021-01-11,Jakarta,-32,-12,-50,-43.0,-34,15
2021-01-12,Jakarta,-36,-17,-54,-44.0,-36,15
2021-01-13,Jakarta,-36,-18,-53,-45.0,-36,14
2021-01-14,Jakarta,-38,-23,-53,-48.0,-40,12
2021-01-15,Jakarta,-36,-22,-48,-49.0,-40,13
2021-01-16,Jakarta,-39,-21,-53,-44.0,-28,8
2021-01-17,Jakarta,-41,-24,-57,-43.0,-23,8
2021-01-18,Jakarta,-39,-24,-55,-48.0,-41,14
2021-01-19,Jakarta,-39,-23,-56,-49.0,-41,14
2021-01-20,Jakarta,-38,-23,-55,-49.0,-40,14
2021-01-21,Jakarta,-39,-24,-54,-49.0,-40,14
2021-01-22,Jakarta,-35,-20,-47,-48.0,-37,15
2021-01-23,Jakarta,-37,-17,-52,-41.0,-23,9
2021-01-24,Jakarta,-48,-33,-71,-50.0,-26,13
2021-01-25,Jakarta,-34,-16,-52,-45.0,-37,14
2021-01-26,Jakarta,-36,-18,-55,-45.0,-38,14
2021-01-27,Jakarta,-35,-18,-54,-46.0,-37,14
2021-01-28,Jakarta,-34,-15,-50,-45.0,-37,13
2021-01-29,Jakarta,-33,-14,-46,-45.0,-36,14
2021-01-30,Jakarta,-36,-12,-56,-39.0,-23,8
2021-01-31,Jakarta,-33,-8,-60,-35.0,-16,7
2021-02-01,Jakarta,-33,-12,-54,-43.0,-36,12
2021-02-02,Jakarta,-32,-7,-52,-42.0,-37,12
2021-02-03,Jakarta,-34,-15,-57,-45.0,-37,13
2021-02-04,Jakarta,-35,-17,-55,-45.0,-37,12
2021-02-05,Jakarta,-28,-6,-46,-42.0,-35,12
2021-02-06,Jakarta,-31,-6,-52,-35.0,-23,7
2021-02-07,Jakarta,-39,-20,-66,-41.0,-21,8
2021-02-08,Jakarta,-33,-14,-55,-43.0,-37,12
2021-02-09,Jakarta,-31,-9,-55,-42.0,-37,11
2021-02-10,Jakarta,-29,-8,-52,-41.0,-36,11
2021-02-11,Jakarta,-27,-6,-47,-37.0,-37,9
2021-02-12,Jakarta,-34,-17,-41,-55.0,-67,20
2021-02-13,Jakarta,-35,-15,-48,-41.0,-30,8
2021-02-14,Jakarta,-37,-18,-57,-38.0,-19,7
2021-02-15,Jakarta,-32,-12,-51,-41.0,-35,11
2021-02-16,Jakarta,-39,-21,-58,-44.0,-39,13
2021-02-17,Jakarta,-32,-12,-51,-42.0,-34,11
2021-02-18,Jakarta,-39,-23,-57,-45.0,-36,13
2021-02-19,Jakarta,-30,-10,-46,-43.0,-34,13
2021-02-20,Jakarta,-38,-14,-55,-40.0,-25,9
2021-02-21,Jakarta,-35,-12,-57,-38.0,-17,7
2021-02-22,Jakarta,-31,-12,-50,-43.0,-34,11
2021-02-23,Jakarta,-34,-15,-54,-43.0,-35,11
2021-02-24,Jakarta,-34,-18,-53,-44.0,-34,12
2021-02-25,Jakarta,-29,-7,-49,-41.0,-33,10
2021-02-26,Jakarta,-24,-2,-41,-39.0,-32,11
2021-02-27,Jakarta,-24,4,-42,-30.0,-19,5
2021-02-28,Jakarta,-28,-3,-49,-31.0,-13,5
2021-03-01,Jakarta,-29,-5,-51,-40.0,-33,10
2021-03-02,Jakarta,-29,-5,-52,-40.0,-34,10
2021-03-03,Jakarta,-27,-5,-49,-39.0,-33,10
2021-03-04,Jakarta,-29,-10,-50,-40.0,-33,10
2021-03-05,Jakarta,-26,-6,-45,-39.0,-32,11
2021-03-06,Jakarta,-26,-2,-45,-29.0,-20,5
2021-03-07,Jakarta,-31,-9,-52,-31.0,-16,6
2021-03-08,Jakarta,-28,-7,-48,-39.0,-33,10
2021-03-09,Jakarta,-29,-9,-49,-38.0,-34,10
2021-03-10,Jakarta,-25,-5,-46,-34.0,-32,9
2021-03-11,Jakarta,-28,-11,-41,-51.0,-66,18
2021-03-12,Jakarta,-26,-6,-39,-40.0,-34,11
2021-03-13,Jakarta,-28,-4,-40,-32.0,-20,6
2021-03-14,Jakarta,-31,-9,-44,-30.0,-16,5
2021-03-15,Jakarta,-27,-6,-43,-37.0,-32,10
2021-03-16,Jakarta,-29,-9,-47,-38.0,-33,10
2021-03-17,Jakarta,-28,-8,-43,-38.0,-31,10
2021-03-18,Jakarta,-27,-8,-42,-38.0,-31,10
2021-03-19,Jakarta,-24,-5,-37,-36.0,-30,11
2021-03-20,Jakarta,-27,-4,-42,-30.0,-17,6
2021-03-21,Jakarta,-29,-7,-46,-31.0,-13,5
2021-03-22,Jakarta,-28,-7,-45,-38.0,-31,10
2021-03-23,Jakarta,-29,-8,-45,-38.0,-32,10
2021-03-24,Jakarta,-28,-9,-42,-38.0,-31,10
2021-03-25,Jakarta,-25,-4,-41,-37.0,-31,10
2021-03-26,Jakarta,-21,0,-34,-35.0,-29,10
2021-03-27,Jakarta,-27,-5,-43,-29.0,-18,5
2021-03-28,Jakarta,-26,-3,-44,-28.0,-12,5
2021-03-29,Jakarta,-25,-2,-42,-36.0,-31,9
2021-03-30,Jakarta,-26,-5,-45,-36.0,-32,9
2021-03-31,Jakarta,-25,-4,-43,-32.0,-31,9
2021-04-01,Jakarta,-19,9,-34,-27.0,-30,7
2021-04-02,Jakarta,-20,3,-24,-44.0,-63,15
2021-04-03,Jakarta,-27,-3,-41,-31.0,-24,5
2021-04-04,Jakarta,-25,-1,-42,-22.0,-13,2
2021-04-05,Jakarta,-22,3,-40,-32.0,-30,8
2021-04-06,Jakarta,-23,1,-42,-32.0,-31,8
2021-04-07,Jakarta,-23,-2,-43,-32.0,-31,9
2021-04-08,Jakarta,-21,1,-37,-31.0,-30,8
2021-04-09,Jakarta,-16,3,-32,-31.0,-28,8
2021-04-10,Jakarta,-19,6,-33,-20.0,-16,3
2021-04-11,Jakarta,-21,4,-41,-18.0,-11,2
2021-04-12,Jakarta,-21,3,-39,-29.0,-31,8
2021-04-13,Jakarta,-38,-11,-56,-44.0,-37,15
2021-04-14,Jakarta,-35,-15,-54,-41.0,-33,13
2021-04-15,Jakarta,-34,-14,-51,-40.0,-32,13
2021-04-16,Jakarta,-26,-3,-40,-38.0,-29,13
2021-04-17,Jakarta,-31,-7,-50,-35.0,-17,9
2021-04-18,Jakarta,-31,-8,-58,-35.0,-11,9
2021-04-19,Jakarta,-28,-7,-46,-37.0,-29,12
2021-04-20,Jakarta,-28,-5,-46,-37.0,-30,12
2021-04-21,Jakarta,-26,-6,-46,-37.0,-30,12
2021-04-22,Jakarta,-26,-7,-44,-38.0,-29,11
2021-04-23,Jakarta,-23,-4,-39,-36.0,-28,12
2021-04-24,Jakarta,-24,0,-44,-29.0,-14,7
2021-04-25,Jakarta,-25,-3,-56,-29.0,-8,8
2021-04-26,Jakarta,-23,-2,-41,-35.0,-28,11
2021-04-27,Jakarta,-25,-3,-46,-36.0,-29,11
2021-04-28,Jakarta,-25,-6,-48,-35.0,-30,11
2021-04-29,Jakarta,-20,3,-42,-33.0,-29,10
2021-04-30,Jakarta,-13,13,-33,-29.0,-26,10
2021-05-01,Jakarta,-15,14,-39,-22.0,-33,7
2021-05-02,Jakarta,-16,11,-53,-20.0,-8,5
2021-05-03,Jakarta,-15,13,-39,-29.0,-29,8
2021-05-04,Jakarta,-17,10,-41,-28.0,-31,9
2021-05-05,Jakarta,-19,5,-43,-30.0,-32,9
2021-05-06,Jakarta,-20,4,-43,-36.0,-32,10
2021-05-07,Jakarta,-13,12,-36,-36.0,-30,10
2021-05-08,Jakarta,-17,12,-46,-29.0,-20,6
2021-05-09,Jakarta,-16,11,-56,-28.0,-10,7
2021-05-10,Jakarta,-12,17,-37,-36.0,-38,10
2021-05-11,Jakarta,-14,20,-38,-35.0,-43,10
2021-05-12,Jakarta,-21,19,-35,-46.0,-67,17
2021-05-13,Jakarta,-34,-13,-28,-56.0,-75,12
2021-05-14,Jakarta,-28,-8,-25,-54.0,-76,16
2021-05-15,Jakarta,-27,-5,-40,-37.0,-49,6
2021-05-16,Jakarta,-26,-4,-53,-33.0,-20,4
